lambda,Ion,Ei (eV),Ek (eV),Configurations,Terms,Ji - Jk,Type(if not E1),Creation IP(eV),ObservationReferences,Note
770.409,Ne VIII,0.000,16.093,1s22s - 1s22p,2S - 2P0,1/2 - 3/2,,207.27,Z97,
780.324,Ne VIII,0.000,15.889,1s22s - 1s22p,2S - 2P0,1/2 - 1/2,,207.27,Z97,
937.814,Lyε,0.000,13.221,1s - 6,2S -,1/2 -,,0.00,VB01,
949.742,Lyδ,0.000,13.055,1s - 5,2S -,1/2 -,,0.00,VB01,
977.030,C III,0.000,12.690,1s22s2 - 1s22s2p,1S - 1P0,0 - 1,,24.38,Z97,
989.790,N III,0.000,12.526,2s22p - 2s2p2,2P0 - 2D,1/2 - 3/2,,29.60,Z97,
991.514,N III,0.022,12.526,2s22p - 2s2p2,2P0 - 2D,3/2 - 3/2,,29.60,Z97,
991.579,N III,0.022,12.525,2s22p - 2s2p2,2P0 - 2D,3/2 - 5/2,,29.60,Z97,
1025.722,Lyβ,0.000,12.088,1s - 3,2S -,1/2 -,,0.00,VB01,
1031.912,O VI,0.000,12.015,1s22s - 1s22p,2S - 2Po,1/2-3/2,,113.90,VB01,
1037.613,O VI,0.000,11.949,1s22s - 1s22p,2S - 2Po,1/2-1/2,,113.90,VB01,
1066.660,Ar I,0.000,11.624,3s23p6 - 3s23p5(2P03/2)4s,1S - 23/20,0 - 1,,0.00,Z97,
1215.670,Lyα,0.000,10.199,1s - 2,2S -,1/2 -,,0.00,VB01,
1238.821,N V,0.000,10.008,1s22s - 1s22p,2S - 2Po,1/2-3/2,,77.47,FO87,
1242.804,N V,0.000,9.976,1s22s - 1s22p,2S - 2Po,1/2-1/2,,77.47,FO87,
1260.422,Si II,0.000,9.837,3s23p - 3s23d,2P0 - 2D,1/2 - 3/2,,8.15,LM04,
1264.730,Si II,0.036,9.839,3s23p - 3s23d,2P0 - 2D,3/2 - 5/2,,8.15,LM04,
1302.168,O I,0.000,9.521,2s22p4 - 2s22p3(4S0)3s,3P - 3S0,2 - 1,,0.00,VB01,
1334.532,C II,0.000,9.290,2s22p - 2s2p2,2P0 - 2D,1/2 - 3/2,,11.26,LM04,
1335.708,C II,0.008,9.290,2s22p - 2s2p2,2P0 - 2D,3/2 - 5/2,,11.26,LM04,
1393.755,Si IV,0.000,8.896,2p63s - 2p63p,2S - 2Po,1/2-3/2,,33.49,VB01,
1397.232,O IV,0.000,8.874,2s22p - 2s2p2,2P0 - 4P,1/2-3/2,,54.93,,
1399.780,O IV,0.000,8.857,2s22p - 2s2p2,2P0 - 4P,1/2-1/2,,54.93,,
1402.770,Si IV,0.000,8.839,2p63s - 2p63p,2S - 2Po,1/2-1/2,,33.49,VB01,
1486.496,N IV,0.000,8.341,1s22s2 - 1s22s2p,1S - 3P0,0 - 1,,47.45,FO87,
1548.187,C IV,0.000,8.008,1s22s - 1s22p,2S - 2Po,1/2-3/2,,47.89,,
1550.772,C IV,0.000,7.995,1s22s - 1s22p,2S - 2Po,1/2-1/2,,47.89,,
1640.420,He II,40.813,48.371,,,,,54.42,FO87,
1660.809,O III,0.014,7.479,2s22p2 - 2s2p3,3P - 5So,1 - 2,,35.12,FO87,
1666.150,O III,0.038,7.479,2s22p2 - 2s2p3,3P - 5So,2 - 2,,35.12,FO87,
1746.823,N III,0.000,7.098,2s22p - 2s2p2,2P0 - 4P,1/2-3/2,,29.60,VB01,
1748.656,N III,0.000,7.090,2s22p - 2s2p2,2P0 - 4P,1/2-1/2,,29.60,VB01,
1854.716,Al III,0.000,6.685,2p63s - 2p63p,2S - 2Po,1/2-3/2,,18.83,VB01,
1862.790,Al III,0.000,6.656,2p63s - 2p63p,2S - 2Po,1/2-1/2,,18.83,VB01,
1892.030,Si III,0.000,6.553,3s2 - 3s3p,1S - 3P0,,,16.35,D06,
1908.734,C III,0.000,6.496,1s22s2 - 1s22s2p,1S - 3P0,0 - 1,,24.38,FO87,
2142.780,N II,0.016,5.801,2s22p2 - 2s2p3,3P - 5S0,2 - 2,,14.53,LM04,
2320.951,O III,0.014,5.354,2s22p2 - 2s22p2,3P-1S,1 - 0,M1,35.12,FO87,
2323.500,C II,0.000,5.334,2s22p - 2s22p,2P0 - 4P,1/2-3/2,,11.26,LM04,
2324.690,C II,0.000,5.332,2s22p - 2s22p,2P0 - 4P,1/2-1/2,,11.26,LM04,
2648.710,Fe XI,0.000,4.680,3s23p4 - 3s23p4,3P-1D,2 - 2,M1,262.10,P98,
2733.289,He II,48.371,52.906,,,,,54.42,T00,
2782.700,Mg V,0.000,4.454,2s22p4 - 2s22p4,3P-1D,2-2,M1,109.24,R11,
2795.528,Mg II,0.000,4.434,2p63s - 2p63p,2S - 2P0,1/2-3/2,,7.65,R11,
2802.705,Mg II,0.000,4.422,2p63s - 2p63p,2S - 2Po,1/2-1/2,,7.65,R11,
2829.360,Fe IV,0.000,4.381,3d5 - 3d5,6S-4P,5/2-3/2,M1,30.65,R11,
2835.740,Fe IV,0.000,4.371,3d5 - 3d5,6S-4P,5/2-5/2,M1,30.65,R11,
2853.670,Ar IV,0.000,4.343,3s23p3 - 3s23p3,4S0 - 2P0,3/2 - 3/2,M1,40.74,T00,
2868.210,Ar IV,0.000,4.321,3s23p3 - 3s23p3,4S0 - 2P0,3/2 - 1/2,M1,40.74,T00,
2928.000,Mg V,0.221,4.454,2s22p4 - 2s22p4,3P - 1D,1 - 2,M1,109.24,T00,
2945.106,He I,19.820,24.028,1s2s - 1s5p,,,,0.00,T00,
3132.794,O III,36.893,40.849,2s22p(2P0)3p - 2s22p(2P0)3d,3S - 3P0,1-2,,35.12,R11,
3187.745,He I,19.820,23.708,1s2s - 1s4p,3S - 3P0,,,0.00,R11,
3203.100,He II,48.371,52.241,,,,,54.42,R11,
3312.329,O III,33.151,36.893,2s22p(2P0)3s - 2s22p(2P0)3p,3P0 - 3S,1-1,,35.12,R11,
3345.821,Ne V,0.051,3.756,2s22p2 - 2s22p2,3P-1D,1-2,M1,97.11,,
3425.881,Ne V,0.138,3.756,2s22p2 - 2s22p2,3P-1D,2-2,M1,97.11,,
3444.052,O III,37.250,40.849,2s22p(2P0)3p - 2s22p(2P0)3d,3P - 3P0,2 - 2,,35.12,FO87,
3466.497,N I,0.000,3.576,2s22p3 - 2s22p3,4S0 - 2P0,3/2-3/2,M1,0.00,R11,
3466.543,N I,0.000,3.576,2s22p3 - 2s22p3,4S0 - 2P0,3/2-1/2,M1,0.00,R11,
3487.727,He I,20.964,24.518,,3Po-3D,,,0.00,R11,
